Navn,Stasjon,Tid(norsk normaltid),Maksimumstemperatur,Minimumstemperatur
Førde Lh - Bringeland,SN57000,20.03.2025 23:00,2.8,2
Førde Lh - Bringeland,SN57000,21.03.2025 00:00,2.7,1.4
Førde Lh - Bringeland,SN57000,21.03.2025 01:00,1.6,0.4
Førde Lh - Bringeland,SN57000,21.03.2025 02:00,0.5,0
Førde Lh - Bringeland,SN57000,21.03.2025 03:00,1,-0.1
Førde Lh - Bringeland,SN57000,21.03.2025 04:00,1.1,0
Førde Lh - Bringeland,SN57000,21.03.2025 05:00,1.2,0
Førde Lh - Bringeland,SN57000,21.03.2025 06:00,0.8,-0.8
Førde Lh - Bringeland,SN57000,21.03.2025 07:00,0.7,-0.9
Førde Lh - Bringeland,SN57000,21.03.2025 08:00,1.8,0
Førde Lh - Bringeland,SN57000,21.03.2025 09:00,3.3,1.1
Førde Lh - Bringeland,SN57000,21.03.2025 10:00,6,3.3
Førde Lh - Bringeland,SN57000,21.03.2025 11:00,6.9,5.6
Førde Lh - Bringeland,SN57000,21.03.2025 12:00,7.7,6.7
Førde Lh - Bringeland,SN57000,21.03.2025 13:00,8.3,7.1
Førde Lh - Bringeland,SN57000,21.03.2025 14:00,8.2,7.6
Førde Lh - Bringeland,SN57000,21.03.2025 15:00,8,7.4
Førde Lh - Bringeland,SN57000,21.03.2025 16:00,8.4,7.3
Førde Lh - Bringeland,SN57000,21.03.2025 17:00,8.4,7.9
Førde Lh - Bringeland,SN57000,21.03.2025 18:00,8,7.3
Førde Lh - Bringeland,SN57000,21.03.2025 19:00,7.3,6
Førde Lh - Bringeland,SN57000,21.03.2025 20:00,6.7,5
Førde Lh - Bringeland,SN57000,21.03.2025 21:00,7,5.6
Førde Lh - Bringeland,SN57000,21.03.2025 22:00,6.8,5.9
Førde Lh - Bringeland,SN57000,21.03.2025 23:00,6.5,5.8
Førde Lh - Bringeland,SN57000,22.03.2025 00:00,6.8,5.5
Førde Lh - Bringeland,SN57000,22.03.2025 01:00,6.7,6.1
Førde Lh - Bringeland,SN57000,22.03.2025 02:00,6.5,5.4
Førde Lh - Bringeland,SN57000,22.03.2025 03:00,6.1,5.5
Førde Lh - Bringeland,SN57000,22.03.2025 04:00,6.4,5.6
Førde Lh - Bringeland,SN57000,22.03.2025 05:00,6.7,6
Førde Lh - Bringeland,SN57000,22.03.2025 06:00,6.6,5.7
Førde Lh - Bringeland,SN57000,22.03.2025 07:00,6.7,5.8
Førde Lh - Bringeland,SN57000,22.03.2025 08:00,7.4,6.3
Førde Lh - Bringeland,SN57000,22.03.2025 09:00,7.9,7.2
Førde Lh - Bringeland,SN57000,22.03.2025 10:00,8.6,7.7
Førde Lh - Bringeland,SN57000,22.03.2025 11:00,9.8,8.4
Førde Lh - Bringeland,SN57000,22.03.2025 12:00,10.4,9.6
Førde Lh - Bringeland,SN57000,22.03.2025 13:00,11,10.1
Førde Lh - Bringeland,SN57000,22.03.2025 14:00,11.6,10.8
Førde Lh - Bringeland,SN57000,22.03.2025 15:00,12.2,11.4
Førde Lh - Bringeland,SN57000,22.03.2025 16:00,12.1,11.6
Førde Lh - Bringeland,SN57000,22.03.2025 17:00,11.8,11.4
Førde Lh - Bringeland,SN57000,22.03.2025 18:00,11.4,10.6
Førde Lh - Bringeland,SN57000,22.03.2025 19:00,10.7,9.4
Førde Lh - Bringeland,SN57000,22.03.2025 20:00,9.7,9
Førde Lh - Bringeland,SN57000,22.03.2025 21:00,9.4,8.9
Førde Lh - Bringeland,SN57000,22.03.2025 22:00,9,8.6
Førde Lh - Bringeland,SN57000,22.03.2025 23:00,8.8,7.8
Førde Lh - Bringeland,SN57000,23.03.2025 00:00,8.9,7.7
Førde Lh - Bringeland,SN57000,23.03.2025 01:00,8.9,7.8
Førde Lh - Bringeland,SN57000,23.03.2025 02:00,8.3,7.3
Førde Lh - Bringeland,SN57000,23.03.2025 03:00,7.8,7.1
Førde Lh - Bringeland,SN57000,23.03.2025 04:00,7.4,6.1
Førde Lh - Bringeland,SN57000,23.03.2025 05:00,6.4,5.7
Førde Lh - Bringeland,SN57000,23.03.2025 06:00,6,4.2
Førde Lh - Bringeland,SN57000,23.03.2025 07:00,5.1,3.4
Førde Lh - Bringeland,SN57000,23.03.2025 08:00,5.1,3.9
Førde Lh - Bringeland,SN57000,23.03.2025 09:00,7.4,5.2
Førde Lh - Bringeland,SN57000,23.03.2025 10:00,8.4,7.3
Førde Lh - Bringeland,SN57000,23.03.2025 11:00,8.8,7.9
Førde Lh - Bringeland,SN57000,23.03.2025 12:00,9.6,8.3
Førde Lh - Bringeland,SN57000,23.03.2025 13:00,9.4,8.7
Førde Lh - Bringeland,SN57000,23.03.2025 14:00,9.7,8.7
Førde Lh - Bringeland,SN57000,23.03.2025 15:00,9.6,8.7
Førde Lh - Bringeland,SN57000,23.03.2025 16:00,9.3,8.7
Førde Lh - Bringeland,SN57000,23.03.2025 17:00,9.4,8.5
Førde Lh - Bringeland,SN57000,23.03.2025 18:00,8.6,7.6
Førde Lh - Bringeland,SN57000,23.03.2025 19:00,7.6,7.1
Førde Lh - Bringeland,SN57000,23.03.2025 20:00,7.1,6.4
Førde Lh - Bringeland,SN57000,23.03.2025 21:00,6.8,6.3
Førde Lh - Bringeland,SN57000,23.03.2025 22:00,6.4,6
Førde Lh - Bringeland,SN57000,23.03.2025 23:00,6.6,6
Førde Lh - Bringeland,SN57000,24.03.2025 00:00,6.7,6.1
Førde Lh - Bringeland,SN57000,24.03.2025 01:00,6.5,5.9
Førde Lh - Bringeland,SN57000,24.03.2025 02:00,6.3,5.8
Førde Lh - Bringeland,SN57000,24.03.2025 03:00,6,5.7
Førde Lh - Bringeland,SN57000,24.03.2025 04:00,5.7,5.5
Førde Lh - Bringeland,SN57000,24.03.2025 05:00,5.7,5.3
Førde Lh - Bringeland,SN57000,24.03.2025 06:00,5.5,5.2
Førde Lh - Bringeland,SN57000,24.03.2025 07:00,5.9,5.2
Førde Lh - Bringeland,SN57000,24.03.2025 08:00,5.8,5.5
Førde Lh - Bringeland,SN57000,24.03.2025 09:00,5.6,5.4
Førde Lh - Bringeland,SN57000,24.03.2025 10:00,5.4,4.7
Førde Lh - Bringeland,SN57000,24.03.2025 11:00,4.7,3.7
